OC001--VK	- Australia 
OC002--VK9X	- Christmas 
OC003--VK9Y	- Cocos 
OC004--VK9L	- Lord Howe 
OC005--VK9N	- Norfolk 
OC006--VK7	- Tasmania 
OC007--VK9Z	- Willis 
OC008--P2	- Bismarck 
OC009--KC6	- Palau 
OC010--V63	- Pohnpei 
OC011--V63	- Truk 
OC012--V63	- Yap 
OC013--ZK1	- Rarotonga 
OC014--ZK1	- Manihiki 
OC015--T2	- Tuvalu 
OC016--3D2	- Vanua/Viti Lev 
OC017--T30	- Gilbert 
OC018--T30	- Banaba 
OC019--KH6	- Hawaiian 
OC020--KH7	- Kure 
OC021--YB	- Java 
OC022--YB9	- Bali 
OC023--KH3	- Johnston 
OC024--T32	- Christmas 
OC025--P2	- Admiralty 
OC026--KH2	- Guam 
OC027--FO	- Marquesas 
OC028--V73	- Ralik 
OC029--V73	- Ratak 
OC030--KH4	- Midway 
OC031--C2	- Nauru 
OC032--FK	- New Caledonia 
OC033--FK	- Loyalty 
OC034--YB/P2	- New Guinea 
OC035--YJ	- New Hebrides 
OC036--ZL1/2	- North Island 
OC037--ZL9	- Campbell 
OC038--ZL7	- Chatham 
OC039--ZL8	- Kermadec 
OC040--ZK2	- Niue 
OC041--P2	- Ninigo 
OC042--DU1/4	- Luzon 
OC043--T31	- Phoenix 
OC044--VR6	- Pitcairn 
OC045--KH8	- Tutuila 
OC046--FO	- Windward 
OC047--H4	- Solomon 
OC048--ZK3	- Tokelau 
OC049--A3	- Tongatapu 
OC050--FO	- Ruruta 
OC051--FO	- Rapa 
OC052--FO	- Duke/Gloucester 
OC053--KH9	- Wake 
OC054--FW	- Wallsi 
OC055--KH6	- Fren. Frigate 
OC056--VR6	- Henderson 
OC057--FO	- Maupihaa 
OC058--FK	- D'Entrecastea 
OC059--V63	- Kosrae 
OC060--3D2	- Rotuma 
OC061--		- Minerva Reefs 
OC062--FO	- Pukapuka 
OC063--FO	- Gambier 
OC064--A3	- Vava'u 
OC065--H4	- Reef 
OC066--FO	- Tuamotu 
OC067--FO	- Leeward 
OC068--ZL4	- Snares 
OC069--P2	- Lihir 
OC070--YB8	- Ceram 
OC071--VK6	- Buccaneer 
OC072--VK9Z	- Mellish 
OC073--JD	- Minami Torish 
OC074--ZL9	- Auckland 
OC075--YB5	- Riau 
OC075--YB8	- Sula 
OC077--KH8	- Manau 
OC077--V63	- Ulithi 
OC079--FK	- Belep 
OC080--ZK1	- Suwarrow 
OC081--KH5	- Jarvis 
OC082--ZK1	- Penrhyn 
OC083--ZK1	- Aitutaki 
OC084--T32	- Fanning/Washi 
OC085--KH5	- Palymra 
OC086--KH0	- North Marianas 
OC087--V73	- Enewetak 
OC088--YB/9M/V8	- Borneo 
OC089--KH1	- Baker/Howlan 
OC090--DU1	- Calamian 
OC091--DU1	- Polillo 
OC092--DU2	- Babuyan 
OC093--DU2	- Batan 
OC094--FO	- Disappointment 
OC095--3D2	- Lau 
